|name|rating|metascoe|votes|gross
111|275.The Current War(2017)|6.5|55|18,097|
112|276.Beyond Skyline(2017)|5.3|46|18,048|
113|277.Smurfs: The Lost Village(2017)|6.0|40|18,043|$45.02M
114|278.Wish Upon(2017)|5.0|32|18,031|$14.30M
115|280.The 12th Man(2017)|7.4|70|17,968|
116|281.6 Days(I) (2017)|6.2|36|17,892|
117|282.Father Figures(2017)|5.5|22|17,742|$17.50M
118|283.Loving Pablo(2017)|6.3|42|17,690|$0.02M
119|289.My Cousin Rachel(2017)|6.0|63|17,480|$2.68M
120|290.Crooked House(2017)|6.3|59|17,242|
121|292.Wheelman(2017)|6.4|66|17,106|
122|293.Once Upon a Time in Venice(2017)|5.3|28|17,087|
123|294.Unicorn Store(2017)|5.5|44|16,988|
124|297.Naked(I) (2017)|5.4|36|16,922|
125|298.The Party(I) (2017)|6.6|73|16,604|$0.75M
126|299.One Cut of the Dead(2017)|7.7|86|16,538|
127|300.Mayhem(2017)|6.4|62|16,359|
128|253.Mom and Dad(2017)|5.5|59|20,099|
129|254.A Prayer Before Dawn(2017)|6.9|76|19,994|
130|255.iBoy(2017)|6.0|50|19,825|
131|256.The Little Hours(2017)|5.8|69|19,685|$1.65M
132|259.Marshall(2017)|7.2|66|19,484|$10.05M
133|262.The Breadwinner(2017)|7.7|78|19,361|$0.31M
134|263.Leatherface(2017)|5.0|40|19,244|
135|264.Sand Castle(2017)|6.3|45|18,882|
136|265.Creep 2(2017)|6.5|75|18,696|
137|266.Lucky(I) (2017)|7.3|80|18,630|$0.96M
138|268.Fullmetal Alchemist(2017)|5.2|48|18,494|
139|270.Super Dark Times(2017)|6.6|75|18,481|$0.03M
140|271.Song to Song(I) (2017)|5.7|54|18,397|$0.44M
141|273.Breathe(I) (2017)|7.1|51|18,321|$0.49M
142|274.Tulip Fever(2017)|6.2|38|18,099|$2.43M
143|275.The Current War(2017)|6.5|55|18,097|
144|276.Beyond Skyline(2017)|5.3|46|18,048|
145|277.Smurfs: The Lost Village(2017)|6.0|40|18,043|$45.02M
146|278.Wish Upon(2017)|5.0|32|18,031|$14.30M
147|280.The 12th Man(2017)|7.4|70|17,968|
148|281.6 Days(I) (2017)|6.2|36|17,892|
149|282.Father Figures(2017)|5.5|22|17,742|$17.50M
150|283.Loving Pablo(2017)|6.3|42|17,690|$0.02M
151|289.My Cousin Rachel(2017)|6.0|63|17,480|$2.68M
152|290.Crooked House(2017)|6.3|59|17,242|
153|292.Wheelman(2017)|6.4|66|17,106|
154|293.Once Upon a Time in Venice(2017)|5.3|28|17,087|
155|294.Unicorn Store(2017)|5.5|44|16,988|
156|297.Naked(I) (2017)|5.4|36|16,922|
157|298.The Party(I) (2017)|6.6|73|16,604|$0.75M
158|299.One Cut of the Dead(2017)|7.7|86|16,538|
159|300.Mayhem(2017)|6.4|62|16,359|
160|253.Mom and Dad(2017)|5.5|59|20,099|
161|254.A Prayer Before Dawn(2017)|6.9|76|19,994|
162|255.iBoy(2017)|6.0|50|19,825|
163|256.The Little Hours(2017)|5.8|69|19,685|$1.65M
164|259.Marshall(2017)|7.2|66|19,484|$10.05M
165|262.The Breadwinner(2017)|7.7|78|19,361|$0.31M
166|263.Leatherface(2017)|5.0|40|19,244|
167|264.Sand Castle(2017)|6.3|45|18,882|
168|265.Creep 2(2017)|6.5|75|18,696|
169|266.Lucky(I) (2017)|7.3|80|18,630|$0.96M
170|268.Fullmetal Alchemist(2017)|5.2|48|18,494|
171|270.Super Dark Times(2017)|6.6|75|18,481|$0.03M
172|271.Song to Song(I) (2017)|5.7|54|18,397|$0.44M
173|273.Breathe(I) (2017)|7.1|51|18,321|$0.49M
174|274.Tulip Fever(2017)|6.2|38|18,099|$2.43M
175|275.The Current War(2017)|6.5|55|18,097|
176|276.Beyond Skyline(2017)|5.3|46|18,048|
177|277.Smurfs: The Lost Village(2017)|6.0|40|18,043|$45.02M
178|278.Wish Upon(2017)|5.0|32|18,031|$14.30M
179|280.The 12th Man(2017)|7.4|70|17,968|
180|281.6 Days(I) (2017)|6.2|36|17,892|
181|282.Father Figures(2017)|5.5|22|17,742|$17.50M
182|283.Loving Pablo(2017)|6.3|42|17,690|$0.02M
183|289.My Cousin Rachel(2017)|6.0|63|17,480|$2.68M
184|290.Crooked House(2017)|6.3|59|17,242|
185|292.Wheelman(2017)|6.4|66|17,106|
186|293.Once Upon a Time in Venice(2017)|5.3|28|17,087|
187|294.Unicorn Store(2017)|5.5|44|16,988|
188|297.Naked(I) (2017)|5.4|36|16,922|
189|298.The Party(I) (2017)|6.6|73|16,604|$0.75M
190|299.One Cut of the Dead(2017)|7.7|86|16,538|
191|300.Mayhem(2017)|6.4|62|16,359|
